15,15,bring,carry,done,draw,drink,eight,fall,far,got,grow,hold,hot,hurt,laugh,much,never,only,own,shall,show,ten,together,try,warm
o,m,x,j,y,r,t,f,a,r,o,b,g,v,y
o,t,k,h,a,v,h,k,a,x,t,u,q,y,y
g,w,h,o,t,x,c,k,n,i,r,d,l,o,h
g,p,n,g,b,k,u,t,d,g,u,r,y,l,c
j,f,f,n,i,y,m,q,l,o,h,c,r,j,r
x,j,u,i,n,e,d,l,o,y,n,f,y,w,f
j,g,i,r,t,h,s,r,e,h,t,e,g,o,t
r,i,o,b,g,x,c,a,s,h,a,l,l,o,y
t,o,h,u,n,r,i,y,p,f,j,u,d,k,t
e,q,a,k,n,m,d,r,a,w,c,s,c,l,q
m,l,w,f,b,o,r,r,f,x,h,g,r,o,w
i,o,x,a,n,f,y,a,w,l,t,w,e,r,c
i,q,g,l,y,q,i,c,w,o,h,s,v,n,b
e,e,y,l,u,v,d,q,u,g,o,z,e,a,k
h,l,w,w,a,j,e,x,m,h,m,a,n,e,t
